split,acc,f1,auc,setting
val,0.997020854021847,0.9970119521912351,0.9999711550622495,text-only (TF-IDF)
test,0.9967741935483871,0.9968191827746513,0.9999630485807699,text-only (TF-IDF)
val,0.9560575968222443,0.9558933466234737,0.9922453959658013,text_feat-only (readability/ppl)
test,0.9498759305210918,0.9505386875612145,0.989042672484298,text_feat-only (readability/ppl)
val,0.7753227408142999,0.7771484855946811,0.8514902354954956,image-only (aesthetic/color feats)
test,0.78287841191067,0.7853814078979642,0.861885941315234,image-only (aesthetic/color feats)
val,0.9947864945382324,0.9947748196068674,0.9998742656559598,text + image
test,0.9975186104218362,0.9975538160469667,0.9999389069868729,text + image
val,0.9928003972194638,0.9927734861699476,0.9997578997532403,text + text_feat + image (combined)
test,0.9915632754342432,0.9916543937162494,0.9994400628272664,text + text_feat + image (combined)
